MS,X,Y,DURACAO_FRAMES,DATE_FIM
309.0,1061.0,242.0,7,2022-04-10 14:18:51.222
414.0,993.0,262.0,9,2022-04-10 14:18:52.034
233.0,1032.0,453.0,6,2022-04-10 14:18:52.317
483.0,1174.0,477.0,10,2022-04-10 14:18:53.406
170.0,1067.0,406.0,4,2022-04-10 14:18:53.664
861.0,1006.0,288.0,18,2022-04-10 14:18:54.576
102.0,975.0,433.0,3,2022-04-10 14:18:54.737
195.0,1174.0,534.0,5,2022-04-10 14:18:54.982
193.0,1010.0,340.0,5,2022-04-10 14:18:55.382
586.0,1110.0,269.0,12,2022-04-10 14:18:56.031
199.0,998.0,244.0,4,2022-04-10 14:18:56.299
162.0,908.0,90.0,4,2022-04-10 14:18:56.553
388.0,1086.0,144.0,9,2022-04-10 14:18:56.986
672.0,994.0,509.0,13,2022-04-10 14:18:57.713
2011.0000000000002,1010.0,315.0,34,2022-04-10 14:18:59.783
3735.0,1011.0,207.0,69,2022-04-10 14:19:03.573
113.0,503.0,628.0,3,2022-04-10 14:19:03.805
683.0,952.0,440.0,13,2022-04-10 14:19:04.595
112.0,965.0,688.0,3,2022-04-10 14:19:04.878
434.0,937.0,558.0,10,2022-04-10 14:19:08.243
209.0,1074.0,495.0,5,2022-04-10 14:19:08.496
391.0,1145.0,617.0,7,2022-04-10 14:19:08.936
334.0,1031.0,600.0,7,2022-04-10 14:19:09.327
123.0,967.0,383.0,3,2022-04-10 14:19:09.507
276.0,998.0,270.0,6,2022-04-10 14:19:09.863
420.0,1190.0,605.0,9,2022-04-10 14:19:10.423
1025.0,1024.0,270.0,21,2022-04-10 14:19:11.544
117.0,1149.0,162.0,3,2022-04-10 14:19:11.732
1025.0,1109.0,262.0,18,2022-04-10 14:19:12.813
275.0,1096.0,156.0,6,2022-04-10 14:19:13.142
264.0,1080.0,257.0,6,2022-04-10 14:19:13.460
3026.0,1193.0,238.0,54,2022-04-10 14:19:16.535
